ID;RUT;Razon Social;Fecha de actuacion (1era firma);Fecha de registro (ultima firma);Fecha de aprobacion x SII;Anio;Mes;Comuna Tributaria;Region Tributaria;Codigo de sociedad;Tipo de actuacion;Capital;Comuna Social;Region Social
3627391;77503124-7;Sherbim SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;CURICO;7;SpA;CONSTITUCIÓN;500000;CURICO;7
3627560;77503123-9;Constructora Jaime Sebastián Cortes  Olivarez E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;CURICO;7;EIRL;CONSTITUCIÓN;1000000;CURICO;7
3610765;77503125-5;Yupana Lab SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;LAS CONDES;13;SpA;CONSTITUCIÓN;1000000;LAS CONDES;13
3625160;77503139-5;RABELLO & ASOCIADOS, ABOGADOS LIMITADA;30-12-2021;01-01-2022;01-01-2022;2022;Enero;LAS CONDES;13;SRL;CONSTITUCIÓN;1000000;LAS CONDES;13
3627578;77503127-1;Banquetería Paulo Soza Contreras E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;QUILLOTA;5;EIRL;CONSTITUCIÓN;1000000;QUILLOTA;5
3627622;77503136-0;Contabilidad e impuestos Rolack SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;SAN JOAQUIN;13;SpA;CONSTITUCIÓN;100000;SAN JOAQUIN;13
3627486;77503113-1;KS Servicios SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;PROVIDENCIA;13;SpA;CONSTITUCIÓN;1200000;PROVIDENCIA;13
3627573;77503132-8;APICULTURA MARIA VERONICA LOBOS OSORIO E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;CHONCHI;10;EIRL;CONSTITUCIÓN;1000000;CHONCHI;10
3627677;77503146-8;Nails art by Carmen SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;PUERTO MONTT;10;SpA;CONSTITUCIÓN;500000;PUERTO MONTT;10
3627541;77503118-2;Importadora Alexis Quezada E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;RECOLETA;13;EIRL;CONSTITUCIÓN;50000;RECOLETA;13
3627667;77503145-K;FLM INVERSIONES SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;COYHAIQUE;11;SpA;CONSTITUCIÓN;1000000;COYHAIQUE;11
3627586;77503135-2;Sebastian Godoy Producciones E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;COYHAIQUE;11;EIRL;CONSTITUCIÓN;2000000;COYHAIQUE;11
3626857;77503106-9;Estudio de Ingeniería Digital SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;SAN MIGUEL;13;SpA;CONSTITUCIÓN;1000000;SANTIAGO;13
3626409;77503109-3;Et Alia SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;SANTIAGO;13;SpA;CONSTITUCIÓN;1000000;SANTIAGO;13
3627523;77503117-4;Rg Consulting SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;SANTIAGO;13;SpA;CONSTITUCIÓN;700000;SANTIAGO;13
3625973;77503142-5;DANIEL RUIZ  C.MJ SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;SANTIAGO;13;SpA;CONSTITUCIÓN;1000000;SANTIAGO;13
3627536;77503119-0;Nación manga SPA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;LIMACHE;5;SpA;CONSTITUCIÓN;300000;LIMACHE;5
3627595;77503131-K;Automotriz Felipe Antonio Calfunao Orellana E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;SAN BERNARDO;13;EIRL;CONSTITUCIÓN;1000000;SAN BERNARDO;13
3627459;77503107-7;COMERCIALIZADORA NETSU SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;PUENTE ALTO;13;SpA;CONSTITUCIÓN;1000000;PUENTE ALTO;13
3627478;77503112-3;Mecánica Automotriz Benedicto Viedma E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;PUENTE ALTO;13;EIRL;CONSTITUCIÓN;500000;PUENTE ALTO;13
3627511;77503116-6;FCQ SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;SAN BERNARDO;13;SpA;CONSTITUCIÓN;50000;SAN BERNARDO;13
3627575;77503133-6;janocard spa;01-01-2022;01-01-2022;01-01-2022;2022;Enero;PUENTE ALTO;13;SpA;CONSTITUCIÓN;20000000;PUENTE ALTO;13
3627545;77503121-2;Molle-Diaguita Consultores SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;OVALLE;4;SpA;CONSTITUCIÓN;1000000;OVALLE;4
3627608;77503137-9;INGENIERIA WORKCHIP SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;PEDRO AGUIRRE CERDA;13;SpA;CONSTITUCIÓN;1000000;PEDRO AGUIRRE CERDA;13
3627465;77503108-5;Servicios Integrales de Alimentación Claudio Merino E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;VIÑA DEL MAR;5;EIRL;CONSTITUCIÓN;500000;VIÑA DEL MAR;5
3594565;77503105-0;Blamax SPA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;ANTOFAGASTA;2;SpA;CONSTITUCIÓN;3000000;ANTOFAGASTA;2
3625697;77503115-8;OTEC AMY CAPACITACIONES SPA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;CABRERO;8;SpA;CONSTITUCIÓN;1400000;CABRERO;8
3627612;77503134-4;BA INVERSIONES SpA;01-01-2022;01-01-2022;01-01-2022;2022;Enero;ANTOFAGASTA;2;SpA;CONSTITUCIÓN;1500000;ANTOFAGASTA;2
3627661;77503143-3;Constructora y otros  Katia Marcela torres Araya E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;ARICA;15;EIRL;CONSTITUCIÓN;500000;ARICA;15
3627488;77503114-K;CONSULTORÍA KATHERIN PÉREZ SILVA E.I.R.L.;01-01-2022;01-01-2022;01-01-2022;2022;Enero;QUILPUE;5;EIRL;CONSTITUCIÓN;1000000;QUILPUE;5
